"","run_date","cycle","state","party","vote_share_mu","vote_share_se","vote_share_t_dist","vote_share_start","vote_share_end","vote_share_z"
"66",2021-02-12,2024,"Mississippi","other",-0.0226353543223157,0.0310515606424058,0.0540175037486571,-0.0766528580709728,0.0313821494263414,1.73960672607507
"67",2021-02-12,2024,"Missouri","dem",0.412084909551264,0.0139836639390783,0.0243260758435941,0.38775883370767,0.436410985394858,1.73960672607507
"68",2021-02-12,2024,"Missouri","rep",0.561099591465038,0.0199327391415719,0.0346751270797783,0.52642446438526,0.595774718544816,1.73960672607507
"69",2021-02-12,2024,"Missouri","other",0.026669711817414,0.0177848077219334,0.0309385711350273,-0.0042688593176133,0.0576082829524412,1.73960672607507
"70",2021-02-12,2024,"Montana","dem",0.391487547120503,0.0166517267076219,0.0289674557813431,0.36252009133916,0.420455002901847,1.73960672607507
"71",2021-02-12,2024,"Montana","rep",0.563773698756598,0.0205709572531396,0.0357853755993645,0.527988323157234,0.599559074355962,1.73960672607507
"72",2021-02-12,2024,"Montana","other",0.0442769434291461,0.0212973499258897,0.0370490131786522,0.00722793025049394,0.0813259566077983,1.73960672607507
"73",2021-02-12,2024,"National","dem",0.513082063102425,0.011288052439232,0.0196367719475761,0.493445291154849,0.532718835050001,1.73960672607507
"74",2021-02-12,2024,"National","rep",0.460612804639901,0.0153131015933048,0.026638774528784,0.433974030111117,0.487251579168685,1.73960672607507
"75",2021-02-12,2024,"National","other",0.0263051322576737,0.0158221930349627,0.0275243934248793,-0.00121926116720562,0.0538295256825531,1.73960672607507
"76",2021-02-12,2024,"Nebraska","dem",0.376442150170102,0.0152854360833816,0.0265906474216413,0.349851502748461,0.403032797591743,1.73960672607507
"77",2021-02-12,2024,"Nebraska","rep",0.583399430781195,0.0175260369669483,0.0304884117891436,0.552911018992052,0.613887842570339,1.73960672607507
"78",2021-02-12,2024,"Nebraska","other",0.0399787027563536,0.0191469584124441,0.0333081776381674,0.00667052511818621,0.073286880394521,1.73960672607507
"79",2021-02-12,2024,"Nevada","dem",0.519890585095549,0.0190488909857677,0.0331375788831122,0.486753006212437,0.553028163978661,1.73960672607507
"80",2021-02-12,2024,"Nevada","rep",0.447158178140597,0.0210556582681229,0.0366285647451647,0.410529613395432,0.483786742885762,1.73960672607507
"81",2021-02-12,2024,"Nevada","other",0.0326827289102161,0.0214521173664016,0.037318247659144,-0.00463551874892798,0.0700009765693601,1.73960672607507
"82",2021-02-12,2024,"New Hampshire","dem",0.530470474839936,0.0195725692089631,0.034048573042482,0.496421901797454,0.564519047882418,1.73960672607507
"83",2021-02-12,2024,"New Hampshire","rep",0.437363919256133,0.0211252551320954,0.0367496359178451,0.400614283338288,0.474113555173978,1.73960672607507
"84",2021-02-12,2024,"New Hampshire","other",0.0320088642845673,0.0193451374211577,0.0336529311746925,-0.00164406689012518,0.0656617954592598,1.73960672607507
"85",2021-02-12,2024,"New Jersey","dem",0.592887445686492,0.0155641077616114,0.0270754265474565,0.565812019139036,0.619962872233949,1.73960672607507
"86",2021-02-12,2024,"New Jersey","rep",0.39233293132733,0.0174852679667155,0.0304174897621233,0.361915441565206,0.422750421089453,1.73960672607507
"87",2021-02-12,2024,"New Jersey","other",0.0147037914039503,0.013616550004737,0.0236874419741781,-0.00898365057022784,0.0383912333781284,1.73960672607507
"88",2021-02-12,2024,"New Mexico","dem",0.538286676571348,0.0150227346296202,0.0261336502057283,0.512153026365619,0.564420326777076,1.73960672607507
"89",2021-02-12,2024,"New Mexico","rep",0.408277043323704,0.0159429352415841,0.027734437379639,0.380542605944065,0.436011480703343,1.73960672607507
